Periode,Tanggal,Bulan,Minggu,Indikator_Harga,Fluktuasi_Tertinggi,Lag_1,Lag_2,Lag_3,Lag_4,MA_3,MA_7,Year,Month,Quarter,WeekOfYear,Data_Source,Last_Updated
7,2023-03-08,Maret,M2,-1.488878614724669,0.04347,-1.2680955539278642,2.17991784021937,1.823810562458661,1.3611676684488003,-0.192352109477721,0.3145886321280559,2023,3,1,10,uploaded,2025-08-15T00:36:18.816651
8,2023-03-15,Maret,M3,-1.06296916614032,0.034448,-1.488878614724669,-1.2680955539278642,2.17991784021937,1.823810562458661,-1.273314444930951,0.3541644655365816,2023,3,1,11,uploaded,2025-08-15T00:36:18.816651
9,2023-03-22,Maret,M4,-0.831355912065689,0.0211226,-1.06296916614032,-1.488878614724669,-1.2680955539278642,2.17991784021937,-1.127734564310226,0.1019424034668984,2023,3,1,12,uploaded,2025-08-15T00:36:18.816651
10,2023-03-29,Maret,M5,-0.8525970058983603,0.1026984,-0.831355912065689,-1.06296916614032,-1.488878614724669,-1.2680955539278642,-0.9156406947014564,-0.2143096928684102,2023,3,1,13,uploaded,2025-08-15T00:36:18.816651
11,2023-04-01,April,M1,-1.7856442744828769,0.1117452,-0.8525970058983603,-0.831355912065689,-1.06296916614032,-1.488878614724669,-1.1565323974823087,-0.7299460981457727,2023,4,2,13,uploaded,2025-08-15T00:36:18.816651
12,2023-04-08,April,M2,-1.7856442744828769,0.0901961,-1.7856442744828769,-0.8525970058983603,-0.831355912065689,-1.06296916614032,-1.474628518288038,-1.2964549716746652,2023,4,2,14,uploaded,2025-08-15T00:36:18.816651
13,2023-04-22,April,M4,-1.7856442744828769,0.0606073,-1.7856442744828769,-1.7856442744828769,-0.8525970058983603,-0.831355912065689,-1.7856442744828769,-1.370390503182524,2023,4,2,16,uploaded,2025-08-15T00:36:18.816651
14,2023-05-01,Mei,M1,0.1892152914702478,0.0,-1.7856442744828769,-1.7856442744828769,-1.7856442744828769,-0.8525970058983603,-1.127357752498502,-1.130662802297536,2023,5,2,18,uploaded,2025-08-15T00:36:18.816651
15,2023-05-08,Mei,M2,0.5080899334353575,0.0364878,0.1892152914702478,-1.7856442744828769,-1.7856442744828769,-1.7856442744828769,-0.3627796831924239,-0.9062257880724393,2023,5,2,19,uploaded,2025-08-15T00:36:18.816651
16,2023-05-15,Mei,M3,0.7180227660392546,0.1115178,0.5080899334353575,0.1892152914702478,-1.7856442744828769,-1.7856442744828769,0.47177599698162,-0.6848859769145902,2023,5,2,20,uploaded,2025-08-15T00:36:18.816651
